"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Dez/15";"Nov/15";"Out/15";"Set/15";"Ago/15";"Jul/15";"Jun/15";"Mai/15";"Abr/15";"Mar/15";"Fev/15";"Jan/15";"Competência";"Data de atualização"
"SUL AMÉRICA ODONTOLÓGICO S/A (417815)";"Odontológica";"Grande";"4";"1";"   0,16";"   0,55";"   0,61";"   0,55";"   0,50";"   0,31";"   0,32";"   0,38";"   0,36";"   0,27";"   0,18";"   0,16";"201501";"22/01/2016 16:40:10"
"ODONTO SYSTEM PLANOS ODONTOLOGICOS LTDA (334588)";"Odontológica";"Grande";"5";"3";"   0,14";"   0,30";"   0,35";"   0,38";"   0,29";"   0,26";"   0,20";"   0,17";"   0,15";"   0,18";"   0,15";"   0,14";"201501";"22/01/2016 16:40:10"
"DENTAL UNI - COOPERATIVA ODONTOLÓGICA (304484)";"Odontológica";"Grande";"6";"7";"   0,13";"   0,19";"   0,19";"   0,32";"   0,21";"   0,21";"   0,11";"   0,13";"   0,11";"   0,08";"   0,06";"   0,13";"201501";"22/01/2016 16:40:10"
"ODONTOPREV S/A (301949)";"Odontológica";"Grande";"7";"6";"   0,12";"   0,19";"   0,21";"   0,25";"   0,25";"   0,21";"   0,19";"   0,19";"   0,18";"   0,15";"   0,13";"   0,12";"201501";"22/01/2016 16:40:10"
"INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA ODONTOLÓGICA LTDA (389358)";"Odontológica";"Grande";"8";"12";"   0,11";"   0,08";"   0,15";"   0,11";"   0,12";"   0,05";"   0,02";"   0,02";"   0,05";"   0,05";"   0,08";"   0,11";"201501";"22/01/2016 16:40:10"
"UNIODONTO GOIANIA COOPERATIVA DE CIRURGIÕES DENTISTAS (358436)";"Odontológica";"Grande";"9";"15";"   0,11";"0,00";"   0,05";"   0,05";"   0,05";"0,00";"0,00";"0,00";"0,00";"   0,05";"   0,05";"   0,11";"201501";"22/01/2016 16:40:10"
"APO - ASSISTÊNCIA PERSONALIZADA ODONTOLÓGICA LTDA. (411124)";"Odontológica";"Médio";"7";"4";"   0,35";"   0,63";"   0,32";"   0,33";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,35";"   0,35";"   0,35";"201501";"22/01/2016 16:40:10"
"UNIODONTO MACEIÓ COOPERATIVA ODONTOLÓGICA (321125)";"Odontológica";"Médio";"8";"21";"   0,32";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,16";"   0,16";"   0,32";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE FORTALEZA COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA (335258)";"Odontológica";"Médio";"9";"21";"   0,32";"0,00";"0,00";"0,00";"0,00";"   0,45";"   0,61";"   0,77";"   0,31";"   0,16";"   0,32";"   0,32";"201501";"22/01/2016 16:40:10"
"UNIODONTO/RN - COOPERATIVA ODONTOLOGICA DO RIO GRANDE DO NORTE (345318)";"Odontológica";"Médio";"10";"21";"   0,32";"0,00";"0,00";"0,00";"0,00";"   0,16";"   0,16";"   0,16";"0,00";"0,00";"   0,32";"   0,32";"201501";"22/01/2016 16:40:10"
"FEDERAÇÃO DAS UNIODONTOS DO ESTADO DE MINAS GERAIS (344583)";"Odontológica";"Médio";"11";"21";"   0,31";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,31";"201501";"22/01/2016 16:40:10"
"PREVIDENT ASSISTÊNCIA ODONTOLÓGICA LTDA. (374440)";"Odontológica";"Médio";"12";"13";"   0,29";"   0,29";"   0,29";"   0,29";"   0,29";"   0,29";"   0,14";"   0,29";"   0,29";"   0,58";"   0,29";"   0,29";"201501";"22/01/2016 16:40:10"
"NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA. (304441)";"Odontológica";"Médio";"13";"14";"   0,27";"   0,26";"   0,27";"   0,27";"   0,14";"   0,27";"   0,27";"   0,40";"   0,27";"   0,40";"   0,27";"   0,27";"201501";"22/01/2016 16:40:10"
"SOESP-ODONTO SISTEMA ODONTOLÓGICO E SERVIÇOS PREVENTIVOS LTDA. (405604)";"Odontológica";"Médio";"14";"21";"   0,15";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,23";"   0,19";"   0,34";"   0,15";"   0,15";"201501";"22/01/2016 16:40:10"
"DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA. (300730)";"Odontológica";"Médio";"15";"15";"0,00";"   0,26";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE MARÍLIA COOPERATIVA ODONTOLÓGICA (354821)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"   0,36";"   0,37";"   0,39";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"MOGIDONTO PLANOS ODONTOLÓGICOS LTDA (354741)";"Odontológica";"Médio";"15";"19";"0,00";"   0,15";"   0,14";"   0,14";"0,00";"   0,14";"   0,14";"   0,14";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO RESENDE - COOPERATIVA ODONTOLOGICA (406121)";"Odontológica";"Médio";"15";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE MATO GROSSO COOP TRAB ODONTOLOGICO LTDA (343404)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS (409791)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA (334243)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO COOP ODONT VALE TAQUARI E RIO PARDO LTDA (353752)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO PORTO ALEGRE COOPERATIVA ODONTOLOGICA LTDA (366439)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA (415626)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"   0,22";"   0,22";"   0,22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"DENTAL NORTE ASSISTENCIA ODONTOLOGICA LTDA. (417181)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE JUNDIAÍ COOPERATIVA ODONTOLÓGICA (347795)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"SOGELI PLANOS ODONTOLÓGICOS LTDA. (351890)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,39";"   0,38";"   0,38";"0,00";"201501";"22/01/2016 16:40:10"
"DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA. (322890)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"   0,22";"   0,22";"   0,23";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"SERVDONTO - PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA ME. (414701)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,13";"   0,13";"   0,13";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE AMERICANA COOPERATIVA ODONTOLÓGICA (347604)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"   0,24";"   0,24";"   0,25";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"CROWN ODONTOLOGIA DE GRUPO  LTDA (397245)";"Odontológica";"Médio";"15";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ (365785)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"   0,45";"   0,46";"   0,46";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO PAULISTA-FEDERAÇÃO DAS COOPERATIVAS ODONTOLÓGICAS DO ESTADO DE SÃO PAULO (361593)";"Odontológica";"Médio";"15";"9";"0,00";"   0,43";"   0,28";"   0,28";"   0,14";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA. (311391)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,12";"   0,12";"   0,12";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO REGIONAL COOPERATIVA ODONTOLOGICA (344451)";"Odontológica";"Médio";"15";"20";"0,00";"   0,11";"   0,11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"DENTAL MASTER LTDA - EPP (413747)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,62";"   0,62";"   0,61";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA (305421)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODONTOLÓGICA SERVIÇOS DE SAÚDE ORAL LTDA (416614)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"SISTEMA ODONTOLOGICO DE SAUDE LTDA. (404748)";"Odontológica";"Pequeno";"13";"";"0,00";"";"";"";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO BEBEDOURO - COOPERATIVA ODONTOLÓGICA (327093)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODONTOLÓGICA CLINICA DENTÁRIA S/S LTDA. (407437)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PAULIDENT ODONTOLOGIA S/C LTDA (401781)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO MOSSORÓ - COOPERATIVA DOS CIRURGIÕES DENTISTAS DE MOSSORÓ E REGIÃO OESTE (303291)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODONTOMAR LTDA. (416053)";"Odontológica";"Pequeno";"13";"";"0,00";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ORAL SAÚDE DE VOTUPORANGA SERVIÇO ODONTOLÓGICO LTDA. (379557)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO (363855)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,73";"   0,73";"   0,73";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ASSOCIAÇÃO BENEFICENTE DE CAMPO GRANDE (306428)";"Médico Hospitalar";"Pequeno";"184";"30";"0,00";"  13,05";"  13,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"SINDICATO RURAL DE ALEGRETE (403814)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"  35,09";"  35,09";"  31,91";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557)";"Médico Hospitalar";"Pequeno";"184";"171";"0,00";"   0,91";"   0,91";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA (343722)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
