"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Dez/18";"Nov/18";"Out/18";"Set/18";"Ago/18";"Jul/18";"Jun/18";"Mai/18";"Abr/18";"Mar/18";"Fev/18";"Jan/18";"Competência";"Data de atualização"
"UNIMED SUL PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (353027)";"Médico Hospitalar";"Pequeno";"133";"173";"   1,67";"   0,56";"   0,56";"   0,56";"   1,13";"   1,13";"   1,69";"   1,13";"   1,14";"   1,72";"   1,70";"   1,67";"201801";"16/01/2019 04:16:57"
"ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE (417297)";"Médico Hospitalar";"Pequeno";"134";"184";"   1,63";"0,00";"   0,85";"   0,84";"   0,84";"0,00";"0,00";"   0,83";"   1,65";"   1,64";"   2,46";"   1,63";"201801";"16/01/2019 04:16:57"
"PROASA - PROGRAMA ADVENTISTA DE  SAÚDE (310522)";"Médico Hospitalar";"Pequeno";"135";"140";"   1,63";"   1,05";"   1,58";"   2,11";"   2,11";"   1,59";"   0,53";"   1,60";"   2,14";"   2,69";"   1,08";"   1,63";"201801";"16/01/2019 04:16:57"
"COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA (313084)";"Médico Hospitalar";"Pequeno";"136";"108";"   1,63";"   1,65";"   2,46";"   3,28";"   3,29";"   2,47";"   1,63";"   0,81";"   1,62";"   0,81";"   2,44";"   1,63";"201801";"16/01/2019 04:16:57"
"PETROBRAS DISTRIBUIDORA S.A. (354571)";"Médico Hospitalar";"Pequeno";"137";"88";"   1,62";"   2,19";"   2,18";"   4,36";"   5,44";"   8,16";"   7,06";"   7,05";"   4,87";"   3,24";"   2,70";"   1,62";"201801";"16/01/2019 04:16:57"
"UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO (327352)";"Médico Hospitalar";"Pequeno";"138";"110";"   1,58";"   1,61";"   1,61";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,59";"   1,58";"201801";"16/01/2019 04:16:57"
"UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO (361941)";"Médico Hospitalar";"Pequeno";"139";"137";"   1,57";"   1,07";"0,00";"0,00";"   0,53";"   0,53";"   0,53";"   1,06";"   2,12";"   3,17";"   2,63";"   1,57";"201801";"16/01/2019 04:16:57"
"UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO (313149)";"Médico Hospitalar";"Pequeno";"140";"184";"   1,54";"0,00";"0,00";"   1,62";"   1,62";"   1,61";"0,00";"   1,59";"   1,58";"   3,12";"   1,55";"   1,54";"201801";"16/01/2019 04:16:57"
"SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A (335614)";"Médico Hospitalar";"Pequeno";"141";"35";"   1,54";"   4,37";"   6,53";"   6,26";"   6,39";"   3,94";"   3,15";"   3,71";"   4,30";"   3,43";"   2,01";"   1,54";"201801";"16/01/2019 04:16:57"
"UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA (386901)";"Médico Hospitalar";"Pequeno";"142";"184";"   1,53";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,13";"   3,14";"   3,11";"   1,54";"   1,53";"201801";"16/01/2019 04:16:57"
"IRMANDADE DE MISERICORDIA DE PORTO FERREIRA (329355)";"Médico Hospitalar";"Pequeno";"143";"184";"   1,53";"0,00";"   0,78";"   0,78";"   0,78";"0,00";"0,00";"0,00";"0,00";"   0,77";"   0,77";"   1,53";"201801";"16/01/2019 04:16:57"
"UNIMED VILHENA - COOPERATIVA DE TRABALHO MEDICO LTDA (342131)";"Médico Hospitalar";"Pequeno";"144";"114";"   1,51";"   1,50";"0,00";"   1,51";"   1,52";"   1,52";"   1,52";"   1,52";"   3,05";"   1,52";"   1,51";"   1,51";"201801";"16/01/2019 04:16:57"
"UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO (303844)";"Médico Hospitalar";"Pequeno";"145";"183";"   1,51";"   0,48";"   0,47";"0,00";"   0,47";"   0,94";"   1,46";"   1,00";"   0,51";"   0,51";"   1,01";"   1,51";"201801";"16/01/2019 04:16:57"
"ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS (306754)";"Médico Hospitalar";"Pequeno";"146";"184";"   1,51";"0,00";"0,00";"0,00";"   3,03";"   3,03";"   3,03";"0,00";"0,00";"   1,51";"   1,51";"   1,51";"201801";"16/01/2019 04:16:57"
"PLAMHEG PLANO DE ASSISTÊNCIA MEDICA E HOSPITALAR DO ESTADO DE GOIAS S/S LTDA (373141)";"Médico Hospitalar";"Pequeno";"147";"82";"   1,45";"   2,41";"   6,02";"   7,08";"   4,65";"   1,14";"   1,14";"   1,14";"   1,20";"   1,31";"   1,42";"   1,45";"201801";"16/01/2019 04:16:57"
"CGO SAÚDE - OPERADORA DE PLANOS DE SAÚDE LTDA  (413291)";"Médico Hospitalar";"Pequeno";"148";"184";"   1,40";"0,00";"   0,67";"   2,01";"   2,03";"   1,36";"   0,69";"   1,38";"   1,38";"   1,38";"   0,69";"   1,40";"201801";"16/01/2019 04:16:57"
"UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO  (354325)";"Médico Hospitalar";"Pequeno";"149";"58";"   1,36";"   4,01";"   3,34";"   2,00";"   2,00";"   1,33";"   0,67";"0,00";"   0,67";"   1,35";"   1,36";"   1,36";"201801";"16/01/2019 04:16:57"
"UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO (314587)";"Médico Hospitalar";"Pequeno";"150";"125";"   1,36";"   1,31";"   1,32";"   1,32";"   2,66";"   3,98";"   2,65";"   1,33";"0,00";"0,00";"   1,36";"   1,36";"201801";"16/01/2019 04:16:57"
"UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA. (334847)";"Médico Hospitalar";"Pequeno";"151";"184";"   1,36";"0,00";"0,00";"   2,89";"   4,35";"   5,79";"   2,85";"   2,79";"   2,75";"   2,74";"   2,73";"   1,36";"201801";"16/01/2019 04:16:57"
"AMAZÔNIA PLANOS DE SAÚDE LTDA (419052)";"Médico Hospitalar";"Pequeno";"152";"117";"   1,35";"   1,38";"   2,78";"   2,81";"   2,81";"   1,41";"0,00";"   1,40";"   1,39";"   1,38";"0,00";"   1,35";"201801";"16/01/2019 04:16:57"
"UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO (334154)";"Médico Hospitalar";"Pequeno";"153";"159";"   1,33";"   0,66";"   0,67";"   0,67";"   0,66";"   1,33";"   0,67";"   0,67";"   0,67";"   1,33";"   1,99";"   1,33";"201801";"16/01/2019 04:16:57"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE (335789)";"Médico Hospitalar";"Pequeno";"154";"184";"   1,30";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,31";"   1,30";"   1,30";"0,00";"   1,30";"201801";"16/01/2019 04:16:57"
"UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO (325082)";"Médico Hospitalar";"Pequeno";"155";"184";"   1,27";"0,00";"0,00";"   1,29";"   3,85";"   3,82";"   2,53";"   1,26";"   1,26";"   2,52";"   1,26";"   1,27";"201801";"16/01/2019 04:16:57"
"UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO (351776)";"Médico Hospitalar";"Pequeno";"156";"120";"   1,26";"   1,33";"   1,32";"   1,31";"   2,60";"   2,58";"   2,56";"0,00";"0,00";"0,00";"0,00";"   1,26";"201801";"16/01/2019 04:16:57"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI (321320)";"Médico Hospitalar";"Pequeno";"157";"184";"   1,26";"0,00";"0,00";"   1,26";"   1,26";"   1,25";"0,00";"0,00";"   1,26";"   1,26";"   2,51";"   1,26";"201801";"16/01/2019 04:16:57"
"UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO (320897)";"Médico Hospitalar";"Pequeno";"158";"123";"   1,24";"   1,32";"   1,32";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,64";"   1,26";"   1,24";"201801";"16/01/2019 04:16:57"
"ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS (419958)";"Médico Hospitalar";"Pequeno";"159";"184";"   1,24";"0,00";"0,00";"0,00";"0,00";"   1,27";"   1,26";"   3,78";"   5,03";"   5,00";"   3,73";"   1,24";"201801";"16/01/2019 04:16:57"
"UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO (385620)";"Médico Hospitalar";"Pequeno";"160";"118";"   1,19";"   1,35";"   1,35";"   1,33";"   2,62";"   1,29";"   2,54";"   1,26";"   1,24";"   1,22";"   1,21";"   1,19";"201801";"16/01/2019 04:16:57"
"OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S/S LTDA (416738)";"Médico Hospitalar";"Pequeno";"161";"184";"   1,18";"0,00";"0,00";"0,00";"0,00";"   1,18";"   1,18";"   1,18";"0,00";"   0,59";"   1,18";"   1,18";"201801";"16/01/2019 04:16:57"
"UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO (355577)";"Médico Hospitalar";"Pequeno";"162";"184";"   1,16";"0,00";"   1,17";"   2,33";"   3,50";"   2,34";"   1,18";"   4,70";"   4,69";"   5,85";"   1,17";"   1,16";"201801";"16/01/2019 04:16:57"
"UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO (336858)";"Médico Hospitalar";"Pequeno";"163";"174";"   1,14";"   0,55";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,57";"   0,57";"   1,14";"201801";"16/01/2019 04:16:57"
"UNIMED PATROCÍNIO COOPERATIVA DE TRABALHO MÉDICO LTDA. (355593)";"Médico Hospitalar";"Pequeno";"164";"184";"   1,14";"0,00";"0,00";"0,00";"   1,09";"   1,10";"   2,21";"   2,23";"   2,26";"   1,13";"0,00";"   1,14";"201801";"16/01/2019 04:16:57"
"UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO (301124)";"Médico Hospitalar";"Pequeno";"165";"184";"   1,12";"0,00";"0,00";"   0,99";"   0,99";"   1,00";"0,00";"0,00";"0,00";"0,00";"   1,13";"   1,12";"201801";"16/01/2019 04:16:57"
"HOSPITAL CÉSAR LEITE (314706)";"Médico Hospitalar";"Pequeno";"166";"184";"   1,11";"0,00";"   1,09";"   1,10";"   2,20";"   1,10";"   1,10";"0,00";"0,00";"0,00";"   1,11";"   1,11";"201801";"16/01/2019 04:16:57"
"INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA (312282)";"Médico Hospitalar";"Pequeno";"167";"184";"   1,10";"0,00";"   1,14";"   1,14";"   1,13";"0,00";"0,00";"0,00";"0,00";"   1,11";"   1,10";"   1,10";"201801";"16/01/2019 04:16:57"
"UNIMED PIAUI FEDERAÇÃO DAS COOPERATIVAS DE TRABALHO MEDICO DO ESTADO DO PIAUI (416576)";"Médico Hospitalar";"Pequeno";"168";"50";"   1,09";"   4,96";"0,00";"0,00";"0,00";"0,00";"   1,85";"   1,79";"   1,74";"0,00";"   1,25";"   1,09";"201801";"16/01/2019 04:16:57"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS (333875)";"Médico Hospitalar";"Pequeno";"169";"184";"   1,08";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,08";"   1,08";"   1,08";"201801";"16/01/2019 04:16:57"
"CEMIL CENTRO MEDICO DE ITU LTDA. (300012)";"Médico Hospitalar";"Pequeno";"170";"184";"   1,08";"0,00";"0,00";"   1,07";"   1,07";"   1,08";"0,00";"   1,07";"   1,07";"   1,07";"0,00";"   1,08";"201801";"16/01/2019 04:16:57"
"IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS (363685)";"Médico Hospitalar";"Pequeno";"171";"133";"   1,08";"   1,12";"   1,68";"   1,67";"   0,56";"   0,55";"   1,10";"   1,09";"   1,09";"   1,08";"   1,62";"   1,08";"201801";"16/01/2019 04:16:57"
"UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO (314242)";"Médico Hospitalar";"Pequeno";"172";"184";"   1,06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,13";"   1,07";"   1,06";"201801";"16/01/2019 04:16:57"
"UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA. (301060)";"Médico Hospitalar";"Pequeno";"173";"131";"   1,06";"   1,15";"   1,12";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,55";"   1,06";"201801";"16/01/2019 04:16:57"
"UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO (346951)";"Médico Hospitalar";"Pequeno";"174";"184";"   0,95";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,93";"   0,94";"   0,95";"0,00";"0,00";"   0,95";"201801";"16/01/2019 04:16:57"
"ASSOCIAÇÃO SAÚDE CONCEIÇÃO (330892)";"Médico Hospitalar";"Pequeno";"175";"184";"   0,89";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,89";"201801";"16/01/2019 04:16:57"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA (410110)";"Médico Hospitalar";"Pequeno";"176";"184";"   0,88";"0,00";"0,00";"   0,93";"   0,93";"   1,84";"   0,92";"   1,82";"   1,81";"   1,80";"   0,89";"   0,88";"201801";"16/01/2019 04:16:57"
"UNIMED NOROESTE FLUMINENSE - COOPERATIVA DE TRABALHO MÉDICO LTDA (360414)";"Médico Hospitalar";"Pequeno";"177";"98";"   0,88";"   1,79";"   2,67";"   4,44";"   2,66";"   1,77";"0,00";"   0,88";"   0,88";"   1,76";"   0,88";"   0,88";"201801";"16/01/2019 04:16:57"
"IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO (333808)";"Médico Hospitalar";"Pequeno";"178";"184";"   0,88";"0,00";"   0,82";"   0,84";"   0,84";"0,00";"0,00";"   0,86";"   1,73";"   2,61";"   1,75";"   0,88";"201801";"16/01/2019 04:16:57"
"UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO (353876)";"Médico Hospitalar";"Pequeno";"179";"153";"   0,86";"   0,83";"   0,82";"0,00";"0,00";"0,00";"0,00";"   0,81";"   0,82";"   1,65";"   0,84";"   0,86";"201801";"16/01/2019 04:16:57"
"A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA (406708)";"Médico Hospitalar";"Pequeno";"180";"150";"   0,86";"   0,84";"   0,84";"   0,85";"   0,85";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,86";"201801";"16/01/2019 04:16:57"
"SULMED - ASSISTÊNCIA MÉDICA LTDA (338346)";"Médico Hospitalar";"Pequeno";"181";"184";"   0,84";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,86";"   0,85";"   0,84";"201801";"16/01/2019 04:16:57"
"UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO  (354627)";"Médico Hospitalar";"Pequeno";"182";"81";"   0,84";"   2,47";"   1,66";"   1,66";"   1,67";"   0,84";"   0,84";"   2,53";"   2,54";"   2,52";"   0,84";"   0,84";"201801";"16/01/2019 04:16:57"
"TUIUIU ADMINISTRADORES DE PLANO DE SAUDE LTDA (412252)";"Médico Hospitalar";"Pequeno";"183";"52";"   0,81";"   4,37";"   4,36";"   2,62";"   1,75";"   1,75";"   0,87";"   0,86";"   0,85";"   1,68";"   0,83";"   0,81";"201801";"16/01/2019 04:16:57"
"UNIMED ILHEUS COOPERATIVA DE TRABALHO MEDICO (347230)";"Médico Hospitalar";"Pequeno";"184";"152";"   0,80";"   0,83";"   0,83";"   0,82";"   1,65";"   2,48";"   1,65";"   1,65";"   1,64";"   1,63";"   0,81";"   0,80";"201801";"16/01/2019 04:16:57"
"ASSOCIAÇÃO METROPOLITANA DE ASSISTÊNCIA À SAÚDE (418854)";"Médico Hospitalar";"Pequeno";"58";"48";"   6,20";"   5,75";"   8,06";"  12,64";"  12,57";"  11,70";"  12,44";"  15,50";"  13,96";"  10,87";"   4,65";"   6,20";"201801";"16/01/2019 04:16:57"
"OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA. (318477)";"Médico Hospitalar";"Pequeno";"59";"44";"   6,06";"   7,58";"  12,50";"  13,10";"  11,15";"   6,91";"   4,47";"   5,78";"   5,53";"   5,26";"   4,38";"   6,06";"201801";"16/01/2019 04:16:57"
"UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO (318566)";"Médico Hospitalar";"Pequeno";"60";"171";"   5,97";"   0,56";"0,00";"   1,71";"   2,86";"   3,44";"   3,44";"   4,62";"   5,24";"   4,11";"   6,53";"   5,97";"201801";"16/01/2019 04:16:57"
"HOSPITAL BOM SAMARITANO S/S LTDA (419362)";"Médico Hospitalar";"Pequeno";"61";"11";"   5,56";"  48,01";"  45,55";"  29,01";"  32,48";"  29,83";"  32,83";"  18,44";"  23,81";"  17,27";"  16,25";"   5,56";"201801";"16/01/2019 04:16:57"
"SANTA CASA DE SAÚDE - SCS (420085)";"Médico Hospitalar";"Pequeno";"62";"64";"   5,50";"   3,44";"   2,29";"   3,41";"   3,40";"   3,37";"   3,36";"   3,35";"   4,45";"   3,32";"   4,41";"   5,50";"201801";"16/01/2019 04:16:57"
"SAUDE CASSEB ASSISTENCIA MEDICA LTDA (418781)";"Médico Hospitalar";"Pequeno";"63";"24";"   5,46";"  14,57";"  15,92";"  19,05";"  16,95";"  16,38";"  11,12";"  10,25";"   7,88";"   6,09";"   6,43";"   5,46";"201801";"16/01/2019 04:16:57"
"PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA (417491)";"Médico Hospitalar";"Pequeno";"64";"77";"   5,35";"   2,64";"   3,83";"   2,51";"   6,12";"   5,86";"   5,60";"   2,11";"   0,99";"   4,53";"   3,32";"   5,35";"201801";"16/01/2019 04:16:57"
"UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA. (321087)";"Médico Hospitalar";"Pequeno";"65";"90";"   5,12";"   2,12";"   1,05";"   2,09";"   1,04";"   1,04";"0,00";"0,00";"0,00";"   1,03";"   3,08";"   5,12";"201801";"16/01/2019 04:16:57"
"VITA ASSISTÊNCIA A SAÚDE LTDA. (414905)";"Médico Hospitalar";"Pequeno";"66";"184";"   5,11";"0,00";"   3,80";"   3,92";"   4,05";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,49";"   5,11";"201801";"16/01/2019 04:16:57"
"GAMA SAUDE LTDA. (407011)";"Médico Hospitalar";"Pequeno";"67";"55";"   5,09";"   4,30";"   5,37";"   6,44";"   7,47";"   6,38";"   8,43";"   7,35";"   8,34";"   5,05";"   4,72";"   5,09";"201801";"16/01/2019 04:16:57"
"HOSPITAL DE CATAGUASES (400319)";"Médico Hospitalar";"Pequeno";"68";"53";"   5,01";"   4,35";"   4,42";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   4,95";"   5,01";"201801";"16/01/2019 04:16:57"
"MEDICAL BRASIL ASSISTÊNCIA MÉDICA LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL (419320)";"Médico Hospitalar";"Pequeno";"69";"38";"   4,88";"   8,84";"  11,71";"  12,38";"   9,45";"   7,98";"  10,13";"  12,27";"  11,51";"   7,85";"   5,64";"   4,88";"201801";"16/01/2019 04:16:57"
"ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150)";"Médico Hospitalar";"Pequeno";"70";"184";"   4,72";"0,00";"   0,62";"   0,61";"   0,61";"   0,61";"   0,60";"   0,60";"0,00";"   1,19";"   4,16";"   4,72";"201801";"16/01/2019 04:16:57"
"R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA (420271)";"Médico Hospitalar";"Pequeno";"71";"14";"   4,63";"  37,94";"  58,00";"  55,02";"  55,88";"  48,52";"  32,83";"  33,49";"  17,13";"  21,91";"   4,50";"   4,63";"201801";"16/01/2019 04:16:57"
"CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO (418820)";"Médico Hospitalar";"Pequeno";"72";"184";"   4,57";"0,00";"0,00";"0,00";"0,00";"0,00";"   4,60";"   4,61";"   4,61";"   4,60";"   4,58";"   4,57";"201801";"16/01/2019 04:16:57"
"UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA. (323357)";"Médico Hospitalar";"Pequeno";"73";"41";"   4,50";"   7,90";"   9,51";"  11,15";"   6,38";"   4,80";"   6,40";"   9,46";"  10,85";"   7,60";"   3,02";"   4,50";"201801";"16/01/2019 04:16:57"
"COOPERATIVA DE TRABALHO MÉDICO UNIMED TERESÓPOLIS (363774)";"Médico Hospitalar";"Pequeno";"74";"";"   4,34";"";"";"";"";"";"";"  31,22";"  13,15";"   5,47";"   2,73";"   4,34";"201801";"16/01/2019 04:16:57"
"OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA (354511)";"Médico Hospitalar";"Pequeno";"75";"21";"   4,31";"  18,30";"  15,35";"   9,28";"   6,21";"   4,98";"   6,82";"   8,67";"   9,89";"   7,40";"   5,54";"   4,31";"201801";"16/01/2019 04:16:57"
"PLASAC PLANO DE SAÚDE LTDA (306444)";"Médico Hospitalar";"Pequeno";"76";"94";"   4,24";"   2,01";"   3,03";"   2,02";"   1,01";"0,00";"0,00";"   2,07";"   2,09";"   4,20";"   4,22";"   4,24";"201801";"16/01/2019 04:16:57"
"FUNDAÇÃO ELETROBRÁS DE SEGURIDADE SOCIAL - ELETROS (313904)";"Médico Hospitalar";"Pequeno";"77";"72";"   4,23";"   2,87";"   2,88";"0,00";"0,00";"   1,45";"   4,32";"   4,30";"   4,28";"   4,27";"   5,67";"   4,23";"201801";"16/01/2019 04:16:57"
"UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS (354279)";"Médico Hospitalar";"Pequeno";"78";"184";"   3,86";"0,00";"0,00";"   0,65";"   0,66";"   0,66";"0,00";"0,00";"   0,65";"   1,29";"   1,93";"   3,86";"201801";"16/01/2019 04:16:57"
"UNIMED SANTO ANTONIO DE JESUS COOP TRAB MED (383520)";"Médico Hospitalar";"Pequeno";"79";"2";"   3,85";"   6,30";"   4,21";"   8,40";"   8,37";"   8,32";"   4,12";"   4,07";"   8,00";"  11,91";"   7,90";"   3,85";"201801";"16/01/2019 04:16:57"
"OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA (419699)";"Médico Hospitalar";"Pequeno";"80";"184";"   3,83";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   5,96";"   6,17";"   6,36";"0,00";"   3,83";"201801";"16/01/2019 04:16:57"
"MASSA FALIDA DE SAÚDE QUALITY LTDA. (367729)";"Médico Hospitalar";"Pequeno";"81";"";"   3,82";"";"";"";"";"";"";"";"";"";"   4,02";"   3,82";"201801";"16/01/2019 04:16:57"
"CAMBORIÚ SAÚDE LTDA. (360147)";"Médico Hospitalar";"Pequeno";"82";"";"   3,78";"";"  21,16";"  10,00";"  12,20";"  45,11";"  82,25";"  93,56";"  60,64";"  29,69";"   7,74";"   3,78";"201801";"16/01/2019 04:16:57"
"CENTRO MÉDICO FÁTIMA LTDA (408883)";"Médico Hospitalar";"Pequeno";"83";"93";"   3,70";"   2,01";"   4,05";"   4,11";"   2,06";"   4,14";"   6,15";"   6,15";"   4,04";"   5,94";"   5,72";"   3,70";"201801";"16/01/2019 04:16:57"
