"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Dez/19";"Nov/19";"Out/19";"Set/19";"Ago/19";"Jul/19";"Jun/19";"Mai/19";"Abr/19";"Mar/19";"Fev/19";"Jan/19";"Competência";"Data de atualização"
"FUNDAÇÃO DE SAÚDE ITAIGUAPY (311359)";"Médico Hospitalar";"Médio";"133";"144";"   1,21";"   1,22";"   2,02";"   1,61";"   1,21";"   0,40";"0,00";"0,00";"0,00";"   0,40";"   0,40";"   1,21";"201901";"13/01/2020 21:44:43"
"UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO (371777)";"Médico Hospitalar";"Médio";"134";"134";"   1,20";"   1,50";"   2,41";"   2,71";"   2,71";"   2,12";"   1,82";"   1,52";"   1,52";"   0,91";"   0,91";"   1,20";"201901";"13/01/2020 21:44:43"
"UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO (304883)";"Médico Hospitalar";"Médio";"135";"220";"   1,20";"   0,24";"   0,71";"   0,95";"   0,95";"   0,71";"   0,71";"   0,71";"   0,47";"   0,47";"   1,19";"   1,20";"201901";"13/01/2020 21:44:43"
"UNIMED JI PARANÁ COOPERATIVA DE TRABALHO MÉDICO (347507)";"Médico Hospitalar";"Médio";"136";"83";"   1,17";"   2,99";"   2,72";"   2,71";"   1,96";"   1,46";"   0,48";"   0,96";"   2,38";"   2,36";"   2,12";"   1,17";"201901";"13/01/2020 21:44:43"
"IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ (336831)";"Médico Hospitalar";"Médio";"137";"127";"   1,16";"   1,64";"   1,92";"   1,66";"   1,39";"   1,12";"   0,84";"   0,57";"   0,86";"   1,15";"   1,44";"   1,16";"201901";"13/01/2020 21:44:43"
"ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL (417599)";"Médico Hospitalar";"Médio";"138";"145";"   1,16";"   1,22";"   1,21";"   1,00";"   0,80";"   1,19";"   0,99";"   0,98";"   0,78";"   0,78";"   0,58";"   1,16";"201901";"13/01/2020 21:44:43"
"SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO (420077)";"Médico Hospitalar";"Médio";"139";"157";"   1,09";"   1,04";"   0,91";"   0,62";"   0,63";"   1,10";"   0,94";"   1,10";"   0,78";"   1,25";"   1,09";"   1,09";"201901";"13/01/2020 21:44:43"
"UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES (354783)";"Médico Hospitalar";"Médio";"140";"142";"   1,08";"   1,23";"   0,82";"   0,41";"   0,14";"   0,55";"   0,55";"   0,55";"   0,55";"   1,36";"   1,49";"   1,08";"201901";"13/01/2020 21:44:43"
"UNIMED SALTO/ITU -  COOPERATIVA MÉDICA (346276)";"Médico Hospitalar";"Médio";"141";"96";"   1,08";"   2,50";"   2,32";"   2,49";"   1,60";"   1,60";"   2,49";"   2,66";"   3,21";"   1,97";"   1,44";"   1,08";"201901";"13/01/2020 21:44:43"
"UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO (344729)";"Médico Hospitalar";"Médio";"142";"176";"   1,07";"   0,81";"   0,81";"   1,09";"   0,27";"   0,54";"   0,81";"   1,35";"   1,62";"   1,61";"   1,34";"   1,07";"201901";"13/01/2020 21:44:43"
"UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO (316881)";"Médico Hospitalar";"Médio";"143";"182";"   1,06";"   0,77";"   1,03";"   0,26";"   0,26";"   0,26";"   1,31";"   1,32";"   1,84";"   1,32";"   1,58";"   1,06";"201901";"13/01/2020 21:44:43"
"PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA (420166)";"Médico Hospitalar";"Médio";"144";"210";"   1,05";"   0,37";"   0,74";"   1,85";"   2,20";"   1,82";"   0,72";"   0,36";"   1,07";"   0,71";"   1,41";"   1,05";"201901";"13/01/2020 21:44:43"
"UNIMED SÃO CARLOS - COOPERATIVA DE TRABALHO MÉDICO (354031)";"Médico Hospitalar";"Médio";"145";"185";"   1,04";"   0,73";"   0,73";"   0,52";"   0,63";"   1,05";"   1,16";"   1,16";"   0,94";"   0,73";"   0,84";"   1,04";"201901";"13/01/2020 21:44:43"
"UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO (329886)";"Médico Hospitalar";"Médio";"146";"158";"   1,04";"   1,03";"   1,02";"   1,02";"   0,34";"   1,02";"   1,37";"   1,71";"   1,03";"   0,69";"   0,69";"   1,04";"201901";"13/01/2020 21:44:43"
"SMV SERVIÇOS MÉDICOS LTDA (349194)";"Médico Hospitalar";"Médio";"147";"187";"   1,04";"   0,70";"   1,65";"   1,42";"   1,91";"   1,71";"   2,26";"   2,06";"   1,29";"   0,52";"   0,78";"   1,04";"201901";"13/01/2020 21:44:43"
"VERA CRUZ ASSOCIAÇÃO DE SAÚDE (360481)";"Médico Hospitalar";"Médio";"148";"121";"   1,02";"   1,75";"   2,10";"   1,05";"   1,74";"   1,73";"   2,42";"   1,38";"   2,06";"   1,71";"   2,04";"   1,02";"201901";"13/01/2020 21:44:43"
"UNIMED SOROCABA COOPERATIVA DE TRABALHO MÉDICO (348295)";"Médico Hospitalar";"Médio";"149";"119";"   1,01";"   1,77";"   1,77";"   1,89";"   1,77";"   2,27";"   1,90";"   1,64";"   1,64";"   1,51";"   1,38";"   1,01";"201901";"13/01/2020 21:44:43"
"UNIMED SUL DO PARA COOPERATIVA DE TRABALHO MÉDICO (366145)";"Médico Hospitalar";"Médio";"47";"39";"   4,03";"  10,04";"   9,54";"  10,05";"   8,40";"   7,72";"  12,04";"   7,94";"   6,70";"   4,29";"   4,15";"   4,03";"201901";"13/01/2020 21:44:43"
"ECOLE SERVIÇOS MÉDICOS LTDA (414298)";"Médico Hospitalar";"Médio";"48";"88";"   4,01";"   2,76";"   4,63";"   5,08";"   4,15";"   3,64";"   3,10";"   4,74";"   4,84";"   4,58";"   4,29";"   4,01";"201901";"13/01/2020 21:44:43"
"ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL (342611)";"Médico Hospitalar";"Médio";"49";"72";"   3,92";"   3,57";"   2,37";"   1,65";"   1,64";"   2,11";"   2,80";"   4,19";"   5,34";"   6,25";"   5,32";"   3,92";"201901";"13/01/2020 21:44:43"
"ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA (325236)";"Médico Hospitalar";"Médio";"50";"81";"   3,77";"   3,10";"   5,62";"   6,08";"   6,53";"   4,07";"   2,64";"   3,87";"   4,34";"   4,84";"   4,53";"   3,77";"201901";"13/01/2020 21:44:43"
"REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (331317)";"Médico Hospitalar";"Médio";"51";"48";"   3,64";"   5,08";"   6,00";"   6,33";"   6,83";"   6,18";"   4,66";"   3,72";"   2,29";"   2,80";"   3,32";"   3,64";"201901";"13/01/2020 21:44:43"
"UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO (333051)";"Médico Hospitalar";"Médio";"52";"63";"   3,39";"   4,11";"   4,60";"   4,59";"   4,20";"   4,65";"   5,09";"   5,50";"   5,09";"   4,82";"   4,46";"   3,39";"201901";"13/01/2020 21:44:43"
"POLICLIN SAÚDE S/A. (415693)";"Médico Hospitalar";"Médio";"53";"92";"   3,36";"   2,65";"   3,37";"   2,68";"   3,45";"   3,24";"   2,98";"   1,73";"   1,23";"   1,22";"   2,42";"   3,36";"201901";"13/01/2020 21:44:43"
"PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE (331988)";"Médico Hospitalar";"Médio";"54";"54";"   3,35";"   4,67";"   5,05";"   4,62";"   4,42";"   3,81";"   4,01";"   3,40";"   3,99";"   3,98";"   4,36";"   3,35";"201901";"13/01/2020 21:44:43"
"HBC SAÚDE LTDA. (414352)";"Médico Hospitalar";"Médio";"55";"27";"   3,28";"   7,15";"   6,03";"   6,72";"   5,66";"   5,00";"   4,66";"   3,61";"   4,71";"   3,27";"   2,90";"   3,28";"201901";"13/01/2020 21:44:43"
"ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800)";"Médico Hospitalar";"Médio";"56";"58";"   3,20";"   4,36";"   5,11";"   6,18";"   6,45";"   5,46";"   4,60";"   3,89";"   4,62";"   4,59";"   4,79";"   3,20";"201901";"13/01/2020 21:44:43"
"UNIHOSP SERVIÇOS DE SAÚDE EIRELI (412538)";"Médico Hospitalar";"Médio";"57";"46";"   3,11";"   5,38";"   6,39";"   7,69";"   7,25";"   8,29";"   7,83";"   8,87";"   8,14";"   6,90";"   4,89";"   3,11";"201901";"13/01/2020 21:44:43"
"FUNDAÇÃO CESP (315478)";"Médico Hospitalar";"Médio";"58";"11";"   3,09";"   8,21";"   7,86";"   6,20";"   5,52";"   4,14";"   4,52";"   4,56";"   4,12";"   3,29";"   2,82";"   3,09";"201901";"13/01/2020 21:44:43"
"UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO (320251)";"Médico Hospitalar";"Médio";"59";"109";"   3,07";"   1,98";"   2,99";"   3,20";"   2,80";"   2,00";"   2,82";"   3,25";"   3,90";"   4,13";"   3,31";"   3,07";"201901";"13/01/2020 21:44:43"
"FUNDAÇÃO SABESP DE SEGURIDADE SOCIAL - SABESPREV (336165)";"Médico Hospitalar";"Médio";"60";"";"   3,04";"";"";"";"  20,13";"  11,49";"   4,78";"   4,28";"   3,78";"   3,29";"   3,04";"   3,04";"201901";"13/01/2020 21:44:43"
"EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA (400891)";"Médico Hospitalar";"Médio";"61";"21";"   3,02";"   8,13";"   8,44";"   6,29";"   7,63";"   6,55";"   4,80";"   2,73";"   2,04";"   3,05";"   3,37";"   3,02";"201901";"13/01/2020 21:44:43"
"PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A. (326861)";"Médico Hospitalar";"Médio";"62";"36";"   2,96";"   6,10";"   5,92";"   5,07";"   4,97";"   5,06";"   4,11";"   3,42";"   2,56";"   3,68";"   3,11";"   2,96";"201901";"13/01/2020 21:44:43"
"PLANO DE SAÚDE ANA COSTA LTDA. (360244)";"Médico Hospitalar";"Médio";"63";"66";"   2,96";"   4,01";"   3,38";"   3,37";"   4,28";"   4,46";"   3,64";"   2,53";"   2,54";"   2,84";"   3,05";"   2,96";"201901";"13/01/2020 21:44:43"
"ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021)";"Médico Hospitalar";"Médio";"64";"26";"   2,95";"   7,17";"   6,73";"   6,15";"   4,49";"   4,62";"   5,51";"   4,50";"   4,00";"   2,49";"   2,60";"   2,95";"201901";"13/01/2020 21:44:43"
"UNIMED CAMPINA GRANDE - COOPERATIVA DE TRABALHO MEDICO LTDA (367397)";"Médico Hospitalar";"Médio";"65";"30";"   2,80";"   6,76";"   6,69";"   4,74";"   3,52";"   4,22";"   5,38";"   5,37";"   5,36";"   4,88";"   4,17";"   2,80";"201901";"13/01/2020 21:44:43"
"PREMIUM SAÚDE EIRELI - ME (417823)";"Médico Hospitalar";"Médio";"66";"62";"   2,79";"   4,17";"   4,56";"   5,18";"   4,44";"   6,39";"   6,36";"   7,22";"   5,69";"   5,45";"   4,14";"   2,79";"201901";"13/01/2020 21:44:43"
"SISTEMAS E PLANOS DE SAÚDE LTDA. (352586)";"Médico Hospitalar";"Médio";"67";"76";"   2,76";"   3,26";"   3,82";"   2,79";"   2,74";"   2,74";"   3,02";"   2,24";"   2,11";"   2,62";"   2,89";"   2,76";"201901";"13/01/2020 21:44:43"
"ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO (417947)";"Médico Hospitalar";"Médio";"68";"133";"   2,70";"   1,50";"   3,78";"   4,56";"   4,19";"   4,21";"   3,84";"   4,25";"   3,09";"   3,85";"   4,24";"   2,70";"201901";"13/01/2020 21:44:43"
"UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO (323993)";"Médico Hospitalar";"Médio";"69";"115";"   2,66";"   1,89";"   2,83";"   4,06";"   3,73";"   2,16";"   1,52";"   3,00";"   3,25";"   3,53";"   2,07";"   2,66";"201901";"13/01/2020 21:44:43"
"FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS (315044)";"Médico Hospitalar";"Médio";"70";"42";"   2,62";"   5,72";"   5,70";"   3,50";"   2,61";"   3,05";"   2,61";"   2,18";"   1,74";"   2,18";"   3,06";"   2,62";"201901";"13/01/2020 21:44:43"
"UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA. (321958)";"Médico Hospitalar";"Médio";"71";"49";"   2,60";"   5,04";"   4,66";"   6,90";"   7,83";"   7,71";"   5,50";"   3,87";"   4,89";"   3,53";"   3,36";"   2,60";"201901";"13/01/2020 21:44:43"
"ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE (411752)";"Médico Hospitalar";"Médio";"72";"59";"   2,57";"   4,34";"   4,13";"   3,05";"   2,83";"   3,47";"   3,46";"   3,46";"   3,88";"   3,44";"   3,22";"   2,57";"201901";"13/01/2020 21:44:43"
"UNIMED DE FEIRA DE SANTANA COOPERATIVA DE TRABALHO MÉDICO (322261)";"Médico Hospitalar";"Médio";"73";"";"   2,55";"";"";"";"";"";"";"  57,54";"  25,34";"   9,21";"   5,11";"   2,55";"201901";"13/01/2020 21:44:43"
"CENTRO HOSPITALAR ATIBAIA LTDA. (350699)";"Médico Hospitalar";"Médio";"74";"146";"   2,41";"   1,50";"   0,99";"0,00";"   0,98";"   1,96";"   2,45";"   1,95";"   0,98";"   0,97";"   1,45";"   2,41";"201901";"13/01/2020 21:44:43"
"UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA. (353060)";"Médico Hospitalar";"Médio";"75";"74";"   2,41";"   3,51";"   3,54";"   4,40";"   3,89";"   4,21";"   4,52";"   5,70";"   4,88";"   3,51";"   2,08";"   2,41";"201901";"13/01/2020 21:44:43"
"UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO (364584)";"Médico Hospitalar";"Médio";"76";"33";"   2,35";"   6,64";"   7,39";"   7,26";"   7,00";"   6,60";"   6,35";"   5,17";"   4,57";"   3,65";"   3,35";"   2,35";"201901";"13/01/2020 21:44:43"
"PARANA ASSISTENCIA MEDICA LTDA (315265)";"Médico Hospitalar";"Médio";"77";"97";"   2,30";"   2,48";"   2,97";"   2,94";"   2,91";"   0,97";"   2,88";"   3,35";"   4,74";"   3,29";"   2,78";"   2,30";"201901";"13/01/2020 21:44:43"
"FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL (317233)";"Médico Hospitalar";"Médio";"78";"87";"   2,27";"   2,76";"   3,10";"   2,74";"   4,78";"  17,02";"  40,31";"  39,06";"  26,72";"   4,30";"   2,95";"   2,27";"201901";"13/01/2020 21:44:43"
"COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA. (367087)";"Médico Hospitalar";"Médio";"79";"208";"   2,21";"   0,39";"   0,59";"   1,39";"   3,26";"   4,30";"   4,02";"   3,62";"   2,36";"   2,67";"   2,18";"   2,21";"201901";"13/01/2020 21:44:43"
"UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA (356123)";"Médico Hospitalar";"Médio";"80";"69";"   2,18";"   3,88";"   4,70";"   4,15";"   1,94";"   1,39";"   2,50";"   3,36";"   3,92";"   3,07";"   2,48";"   2,18";"201901";"13/01/2020 21:44:43"
"UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO (353353)";"Médico Hospitalar";"Médio";"81";"61";"   2,15";"   4,28";"   5,04";"   4,85";"   3,81";"   2,54";"   2,11";"   2,63";"   3,17";"   2,97";"   2,89";"   2,15";"201901";"13/01/2020 21:44:43"
"UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO (324345)";"Médico Hospitalar";"Médio";"82";"122";"   2,11";"   1,75";"   2,62";"   1,73";"   2,15";"   2,13";"   3,84";"   6,38";"   5,94";"   4,24";"   1,69";"   2,11";"201901";"13/01/2020 21:44:43"
"BENEFICENCIA CAMILIANA DO SUL (318299)";"Médico Hospitalar";"Médio";"83";"114";"   2,09";"   1,93";"   2,90";"   3,08";"   2,94";"   2,46";"   1,64";"   1,96";"   2,60";"   3,08";"   3,39";"   2,09";"201901";"13/01/2020 21:44:43"
"PRONTOMED PLANOS DE SAÚDE LTDA (301728)";"Médico Hospitalar";"Médio";"84";"163";"   2,08";"   0,99";"   1,49";"   2,26";"   2,01";"   1,76";"   1,26";"   1,78";"   1,02";"   2,58";"   2,07";"   2,08";"201901";"13/01/2020 21:44:43"
"METRUS INSTITUTO DE SEGURIDADE SOCIAL (380661)";"Médico Hospitalar";"Médio";"85";"78";"   2,08";"   3,24";"   0,72";"   0,72";"   0,71";"   2,13";"   2,12";"   2,47";"   1,05";"   2,10";"   2,09";"   2,08";"201901";"13/01/2020 21:44:43"
"CEMIG SAÚDE (417505)";"Médico Hospitalar";"Médio";"86";"124";"   2,03";"   1,72";"   1,72";"   1,54";"   1,54";"   1,54";"   2,22";"   2,39";"   2,04";"   1,19";"   2,20";"   2,03";"201901";"13/01/2020 21:44:43"
"UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE (302953)";"Médico Hospitalar";"Médio";"87";"73";"   1,98";"   3,54";"   3,83";"   3,52";"   3,15";"   3,96";"   3,64";"   4,12";"   3,33";"   3,61";"   2,87";"   1,98";"201901";"13/01/2020 21:44:43"
"UNIMED RONDONOPOLIS COOPERATIVA DE TRABALHO MÉDICO LTDA (359777)";"Médico Hospitalar";"Médio";"88";"91";"   1,93";"   2,66";"   2,88";"   2,42";"   1,32";"   1,55";"   0,88";"   1,31";"   1,08";"   2,14";"   1,93";"   1,93";"201901";"13/01/2020 21:44:43"
"UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO (344397)";"Médico Hospitalar";"Médio";"89";"50";"   1,89";"   5,04";"   4,51";"   5,02";"   3,86";"   3,97";"   4,32";"   4,04";"   3,87";"   2,75";"   2,01";"   1,89";"201901";"13/01/2020 21:44:43"
"ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA (326755)";"Médico Hospitalar";"Médio";"90";"116";"   1,88";"   1,86";"   2,10";"   2,58";"   2,36";"   1,65";"   1,18";"   2,36";"   3,30";"   4,01";"   2,83";"   1,88";"201901";"13/01/2020 21:44:43"
"SAÚDE SANTA TEREZA LTDA. (414930)";"Médico Hospitalar";"Médio";"91";"150";"   1,87";"   1,16";"   1,93";"   2,67";"   3,50";"   2,91";"   1,80";"   0,95";"   0,47";"   0,47";"   0,94";"   1,87";"201901";"13/01/2020 21:44:43"
"ASSOCIAÇÃO SÃO FRANCISCO VIDA (419141)";"Médico Hospitalar";"Médio";"92";"82";"   1,84";"   3,09";"   2,07";"   2,43";"   2,45";"   2,84";"   1,43";"   1,81";"   1,46";"   2,20";"   2,20";"   1,84";"201901";"13/01/2020 21:44:43"
"RN METROPOLITAN LTDA (414131)";"Médico Hospitalar";"Médio";"93";"120";"   1,79";"   1,76";"   0,78";"   0,78";"   0,19";"   0,58";"   0,58";"   1,17";"   1,18";"   1,79";"   1,79";"   1,79";"201901";"13/01/2020 21:44:43"
"UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA (303356)";"Médico Hospitalar";"Médio";"94";"102";"   1,78";"   2,19";"   2,50";"   2,83";"   1,65";"   1,82";"   2,14";"   2,47";"   2,50";"   1,90";"   1,93";"   1,78";"201901";"13/01/2020 21:44:43"
"CASA DE SAÚDE SÃO BERNARDO S/A (363766)";"Médico Hospitalar";"Médio";"95";"89";"   1,77";"   2,74";"   2,94";"   3,14";"   2,68";"   2,46";"   2,01";"   2,03";"   1,82";"   1,72";"   1,17";"   1,77";"201901";"13/01/2020 21:44:43"
