"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Fev/20";"Jan/20";"Dez/19";"Nov/19";"Out/19";"Set/19";"Ago/19";"Jul/19";"Jun/19";"Mai/19";"Abr/19";"Mar/19";"Competência";"Data de atualização"
"AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA (304531)";"Médico Hospitalar";"Pequeno";"107";"109";"   1,72";"   2,27";"   0,56";"   0,56";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"AMENO ASSISTÊNCIA MÉDICA LTDA. (409464)";"Médico Hospitalar";"Pequeno";"33";"15";"  11,83";"  41,39";"  99,90";" 184,90";" 209,16";" 249,17";" 217,31";" 221,87";" 169,65";" 117,75";"  87,71";"  64,53";"202002";"26/03/2020 09:14:21"
"AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA (413330)";"Médico Hospitalar";"Médio";"160";"167";"   0,74";"   0,73";"   0,73";"   1,11";"   1,50";"   1,52";"   1,14";"   0,77";"   0,38";"   0,77";"   1,16";"   1,17";"202002";"26/03/2020 09:14:21"
"AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA (394734)";"Médico Hospitalar";"Grande";"4";"4";"  12,63";"  12,23";"  12,35";"  13,64";"  13,16";"  12,85";"  11,94";"  11,38";"  11,84";"  15,90";"  18,82";"  19,00";"202002";"26/03/2020 09:14:21"
"AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A. (321338)";"Médico Hospitalar";"Pequeno";"21";"33";"  16,04";"  13,01";"   9,57";"   4,38";"   6,29";"   7,59";"   9,50";"   8,26";"   5,74";"   8,33";"  13,48";"  14,09";"202002";"26/03/2020 09:14:21"
"AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ (401081)";"Médico Hospitalar";"Médio";"29";"29";"   6,26";"   6,62";"   6,63";"   5,58";"   6,89";"   7,27";"   8,02";"   8,25";"   7,77";"   8,20";"   6,99";"   5,93";"202002";"26/03/2020 09:14:21"
"AMHA SAUDE S/A (418587)";"Médico Hospitalar";"Médio";"72";"71";"   2,71";"   3,15";"   2,70";"   4,06";"   3,61";"   2,74";"   0,92";"   1,41";"   3,32";"   3,35";"   2,87";"   0,95";"202002";"26/03/2020 09:14:21"
"AMI - ASSISTÊNCIA MÉDICA INFANTIL LTDA (328332)";"Médico Hospitalar";"Pequeno";"31";"18";"  12,06";"  33,49";"  54,92";"  65,21";"  89,04";" 124,16";" 138,33";" 148,89";" 192,21";" 232,84";" 223,78";" 188,34";"202002";"26/03/2020 09:14:21"
"AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A. (326305)";"Médico Hospitalar";"Grande";"9";"9";"   8,58";"   9,81";"  10,74";"  11,94";"  10,87";"   9,39";"   8,38";"   7,97";"   7,22";"   6,60";"   6,21";"   6,19";"202002";"26/03/2020 09:14:21"
"AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA (325465)";"Médico Hospitalar";"Pequeno";"98";"86";"   1,95";"   2,92";"   1,94";"   0,97";"0,00";"0,00";"0,00";"   0,96";"   1,92";"   1,92";"   1,92";"   0,96";"202002";"26/03/2020 09:14:21"
"A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA (406708)";"Médico Hospitalar";"Pequeno";"106";"94";"   1,74";"   2,61";"   2,61";"   5,20";"   5,19";"   3,46";"   2,60";"   3,45";"   4,29";"   3,42";"   2,56";"   1,70";"202002";"26/03/2020 09:14:21"
"ARAÇA PLANOS DE SAÚDE LTDA. (407704)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ARCELORMITTAL BRASIL S/A (416070)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA (325236)";"Médico Hospitalar";"Médio";"32";"42";"   5,88";"   5,32";"   4,40";"   3,44";"   5,62";"   6,08";"   6,53";"   4,07";"   2,64";"   3,87";"   4,34";"   4,84";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE (406554)";"Médico Hospitalar";"Pequeno";"166";"183";"   0,64";"   0,64";"   0,64";"   3,17";"   2,52";"   3,75";"   1,87";"   1,87";"   1,24";"   0,62";"   0,62";"   1,86";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE (411752)";"Médico Hospitalar";"Médio";"63";"88";"   3,22";"   2,16";"   3,69";"   4,56";"   4,14";"   3,05";"   2,83";"   3,48";"   3,47";"   3,46";"   3,88";"   3,44";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO AUXILIADORA DAS CLASSES LABORIOSAS (340146)";"Médico Hospitalar";"Pequeno";"7";"10";"  81,77";"  73,74";"  51,09";"  34,29";"  36,86";"  32,69";"  32,51";"  23,66";"  20,95";"  22,43";"  15,88";"  15,58";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO BENEFICENTE CATÓLICA (322326)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,21";"   0,43";"   0,43";"   0,21";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15) (304131)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"   4,93";"   4,91";"   4,86";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI (382540)";"Médico Hospitalar";"Grande";"74";"74";"   0,12";"   0,16";"   0,12";"   0,16";"   0,20";"   0,24";"   0,28";"   0,28";"   0,24";"   0,40";"   0,37";"   0,29";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO BENEFICENTE FNV (415049)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA (409634)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO (417947)";"Médico Hospitalar";"Médio";"96";"104";"   1,82";"   1,84";"   1,86";"   1,50";"   3,78";"   4,56";"   4,19";"   4,21";"   3,84";"   4,25";"   3,09";"   3,85";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS (416690)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,78";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA (416568)";"Médico Hospitalar";"Médio";"213";"218";"   0,13";"0,00";"   0,13";"   0,27";"   0,27";"   0,13";"0,00";"0,00";"0,00";"   0,13";"   0,13";"   0,13";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ (417955)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO (314218)";"Médico Hospitalar";"Grande";"5";"6";"  11,58";"  11,11";"   7,80";"   8,38";"   7,40";"   7,94";"   7,08";"   7,37";"   7,66";"   8,54";"   8,24";"   7,92";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO (418731)";"Médico Hospitalar";"Pequeno";"129";"141";"   1,30";"   1,30";"   1,28";"0,00";"0,00";"   1,26";"   1,26";"   1,26";"0,00";"   1,27";"   1,27";"   1,28";"202002";"26/03/2020 09:14:21"
"ASSOCIACAO DE SAUDE HOLAMBRA (360783)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA (417530)";"Médico Hospitalar";"Médio";"73";"72";"   2,66";"   3,10";"   2,99";"   4,05";"   4,85";"   6,35";"   5,56";"   5,11";"   3,96";"   5,61";"   5,61";"   6,05";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DO FISCO DE ALAGOAS (393533)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,08";"   6,12";"   6,10";"   3,04";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL (420000)";"Médico Hospitalar";"Pequeno";"181";"76";"0,00";"   3,55";"   4,52";"   6,46";"   3,76";"   3,83";"   3,89";"   2,96";"   1,97";"   0,98";"   0,98";"   1,97";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021)";"Médico Hospitalar";"Médio";"18";"25";"   7,95";"   7,55";"   5,70";"   7,81";"   6,73";"   6,15";"   4,49";"   4,62";"   5,51";"   4,50";"   4,00";"   2,49";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÃO PAULO- AFRESP (317632)";"Médico Hospitalar";"Pequeno";"86";"97";"   2,57";"   2,56";"   2,04";"   2,04";"   3,05";"   1,53";"   1,02";"   0,51";"   1,53";"   1,53";"   1,02";"   0,51";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO (387185)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"  14,01";"  13,91";"  13,79";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP (330281)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC (384704)";"Médico Hospitalar";"Pequeno";"181";"83";"0,00";"   3,14";"   3,14";"   6,28";"   3,14";"   6,28";"   3,14";"   6,29";"   6,29";"   9,43";"   6,28";"   3,14";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC (382639)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS (306754)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,52";"   1,52";"   1,52";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM (388092)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS FUNCIONÁRIOS PÚBLICOS DO ESPÍRITO SANTO (394271)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"  26,32";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL (417599)";"Médico Hospitalar";"Médio";"215";"194";"0,00";"   0,41";"   1,02";"   1,42";"   1,21";"   1,00";"   0,80";"   1,19";"   0,99";"   0,98";"   0,78";"   0,78";"202002";"26/03/2020 09:14:21"
"ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA (343129)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM (420093)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754)";"Médico Hospitalar";"Pequeno";"114";"131";"   1,57";"   1,57";"   1,58";"   1,59";"   1,59";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO (309028)";"Médico Hospitalar";"Médio";"177";"212";"   0,48";"   0,24";"   0,49";"   0,25";"   0,25";"   0,25";"   0,25";"   0,25";"   0,51";"   0,51";"   1,03";"   0,52";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ (419591)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI (342556)";"Médico Hospitalar";"Médio";"173";"184";"   0,50";"   0,50";"   0,66";"   0,66";"   0,66";"   0,50";"   0,33";"   0,33";"   0,50";"   0,83";"   1,34";"   1,34";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA (326755)";"Médico Hospitalar";"Médio";"67";"80";"   2,79";"   2,55";"   1,86";"   2,33";"   2,33";"   2,58";"   2,36";"   1,65";"   1,18";"   2,36";"   3,30";"   4,02";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE (416584)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,50";"   0,50";"   0,51";"   0,51";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO (402206)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL (421618)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150)";"Médico Hospitalar";"Pequeno";"181";"178";"0,00";"   0,67";"   1,34";"   1,34";"   0,66";"   0,66";"   0,65";"   0,65";"   1,29";"   1,93";"   1,92";"   1,91";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO METROPOLITANA DE ASSISTÊNCIA À SAÚDE (418854)";"Médico Hospitalar";"Pequeno";"24";"50";"  14,42";"   8,15";"   7,04";"   6,95";"   8,72";"   6,64";"   6,54";"   7,47";"  10,29";"  10,23";"  12,90";"  10,97";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO (417211)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO PADRE ALBINO SAÚDE (420158)";"Médico Hospitalar";"Pequeno";"140";"157";"   1,06";"   1,06";"   0,53";"   0,47";"   0,85";"   0,77";"   1,16";"   1,16";"   0,78";"   0,39";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE (420816)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO PLAME DE SAÚDE (419974)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"   5,26";"   5,30";"   5,38";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS (419958)";"Médico Hospitalar";"Pequeno";"88";"101";"   2,53";"   2,52";"0,00";"0,00";"   2,53";"   2,54";"   2,56";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - APAS SOROCABA/VOTORANTIM (410128)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"   2,83";"   2,83";"   4,25";"   1,42";"   2,84";"   1,42";"   1,42";"0,00";"   1,42";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA (409405)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA (410110)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   1,99";"   1,98";"   2,94";"   0,98";"   0,97";"0,00";"   0,97";"   0,97";"   1,93";"   0,96";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS) (414212)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,44";"   2,43";"   2,42";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU (406945)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"   1,18";"   1,18";"   1,18";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU (408093)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA (408026)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA (406635)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ (408034)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU (411248)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   4,94";"   4,92";"   4,90";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS) (408794)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406813)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406937)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,67";"   1,68";"   1,67";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE (409413)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,70";"   3,69";"   3,68";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
