"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Dez/17";"Nov/17";"Out/17";"Set/17";"Ago/17";"Jul/17";"Jun/17";"Mai/17";"Abr/17";"Mar/17";"Fev/17";"Jan/17";"Competência";"Data de atualização"
"UNIMED DE ARIQUEMES COOPERATIVA DE TRABALHO MÉDICO (358169)";"Médico Hospitalar";"Pequeno";"186";"55";"0,00";"   6,12";"   6,19";"   4,22";"0,00";"   2,23";"   2,24";"   4,46";"   2,21";"   2,21";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL (336441)";"Médico Hospitalar";"Pequeno";"186";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED NOROESTE DO PARANÁ COOP DE TRABALHO MÉDICO . (365777)";"Médico Hospitalar";"Pequeno";"186";"146";"0,00";"   1,32";"   1,33";"   1,33";"   1,34";"   2,02";"   3,38";"   2,01";"   1,33";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"POLICON ASSISTENCIA MÉDICA LTDA - EPP (412228)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"   4,48";"   4,41";"   4,33";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"HALSA OPERADORA DE MEDICINA DE GRUPO LTDA (419834)";"Médico Hospitalar";"Pequeno";"186";"34";"0,00";"  12,94";"   8,88";"   8,92";"   8,99";"   8,93";"  13,16";"   7,72";"   3,51";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"CAIXA DE ASSISTÊNCIA DOS ADVOGADOS DO ESTADO DO RIO DE JANEIRO - CAARJ (355879)";"Médico Hospitalar";"Pequeno";"186";"";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO (301124)";"Médico Hospitalar";"Pequeno";"186";"109";"0,00";"   2,31";"   2,32";"0,00";"   1,17";"   3,53";"   3,53";"   2,36";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"RORAIMA ENERGIA S/A (416983)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"COOPERATIVA AGROINDUSTRIAL DO ALEGRETE LTDA (355135)";"Médico Hospitalar";"Pequeno";"186";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"LIFEDAY PLANOS DE SAÚDE LTDA. (309699)";"Médico Hospitalar";"Pequeno";"186";"";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED ALEM PARAIBA COOPERATIVA DE TRABALHO MEDICO LTDA (313955)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO (335517)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"   0,59";"   1,19";"   1,19";"   0,59";"   0,58";"   0,57";"   0,57";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"EMPRESA DE TRANSPORTES E TRÂNSITO DE BELO HORIZONTE S.A. - BHTRANS (306525)";"Médico Hospitalar";"Pequeno";"186";"68";"0,00";"   4,71";"   4,70";"   4,69";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO (324213)";"Médico Hospitalar";"Grande";"1";"1";"  18,19";"  44,77";"  42,61";"  38,92";"  31,82";"  30,05";"  22,99";"  18,32";"  14,92";"  14,77";"  17,85";"  18,19";"201701";"05/02/2018 11:09:22"
"CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP (324477)";"Médico Hospitalar";"Grande";"2";"8";"  17,26";"   9,59";"  11,05";"  11,75";"  13,04";"  14,36";"  12,72";"  11,40";"   8,98";"  11,38";"  13,53";"  17,26";"201701";"05/02/2018 11:09:22"
"GEAP AUTOGESTÃO EM SAÚDE (323080)";"Médico Hospitalar";"Grande";"3";"4";"  13,74";"   9,18";"  10,49";"  10,30";"  10,41";"  10,31";"   9,68";"  10,40";"  10,02";"  11,20";"  11,86";"  13,74";"201701";"05/02/2018 11:09:22"
"UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO (393321)";"Médico Hospitalar";"Grande";"4";"2";"  13,65";"   9,78";"  10,98";"  11,71";"  12,09";"  11,51";"  11,12";"  11,38";"  10,74";"  10,79";"  11,00";"  13,65";"201701";"05/02/2018 11:09:22"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL (346659)";"Médico Hospitalar";"Grande";"5";"6";"   7,27";"   7,16";"   7,02";"   7,10";"   7,58";"   7,50";"   7,01";"   6,69";"   6,17";"   6,72";"   6,48";"   7,27";"201701";"05/02/2018 11:09:22"
"PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA (302147)";"Médico Hospitalar";"Grande";"6";"7";"   5,91";"   6,99";"   6,41";"   4,76";"   5,44";"   5,62";"   5,91";"   6,23";"   6,48";"   6,82";"   5,58";"   5,91";"201701";"05/02/2018 11:09:22"
"PETRÓLEO BRASILEIRO S.A.-PETROBRAS (366871)";"Médico Hospitalar";"Grande";"7";"13";"   5,00";"   5,75";"   6,49";"   6,42";"   6,24";"   6,44";"   6,31";"   6,07";"   5,31";"   5,18";"   5,02";"   5,00";"201701";"05/02/2018 11:09:22"
"UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS (319996)";"Médico Hospitalar";"Grande";"8";"5";"   4,98";"   7,28";"   8,75";"   8,86";"   8,15";"   6,45";"   5,02";"   4,98";"   4,40";"   4,80";"   4,33";"   4,98";"201701";"05/02/2018 11:09:22"
"VISION MED ASSISTÊNCIA MÉDICA LTDA (403911)";"Médico Hospitalar";"Grande";"9";"9";"   4,96";"   6,28";"   6,67";"   6,70";"   6,60";"   6,28";"   5,91";"   6,46";"   5,64";"   5,53";"   4,57";"   4,96";"201701";"05/02/2018 11:09:22"
"MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO (418650)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"CONFERÊNCIA SÃO JOSÉ DO AVAÍ (321931)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"HOSPITAL DE PRONTOCLINICA LTDA. (341941)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED VALE DO PARAÍBA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS (334511)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"CEAM BRASIL - PLANOS DE SAÚDE S/A (311472)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"EVERCROSS PLANEJAMENTO DE ASSISTÊNCIA MÉDICA LTDA. (410179)";"Médico Hospitalar";"Pequeno";"186";"27";"0,00";"  17,57";"  11,72";"   5,86";"   2,93";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"CENTRO CLINICO NH LTDA. (304212)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (335541)";"Médico Hospitalar";"Pequeno";"186";"188";"0,00";"   0,57";"   0,59";"   1,22";"   0,64";"   0,64";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE ARARAS (322920)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"   0,59";"   0,58";"   0,58";"0,00";"   0,58";"   0,58";"   0,58";"0,00";"201701";"05/02/2018 11:09:22"
"FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO (323942)";"Médico Hospitalar";"Pequeno";"186";"135";"0,00";"   1,51";"   1,52";"   1,53";"   0,77";"   0,77";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"COOPERATIVA DE CONSUMO E BENEFÍCIOS SOCIAIS E ECONÔMICOS ""C.S. ASSISTANCE"" (350362)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU (414026)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL (357669)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"SEPACO SAÚDE LTDA (407224)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"  12,15";"  23,20";"  23,20";"  34,80";"  23,20";"  23,20";"0,00";"201701";"05/02/2018 11:09:22"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU (411248)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"SEPACO AUTOGESTÃO (416967)";"Médico Hospitalar";"X";"1";"";"   3,34";"";"";"";"";"";"";"";"";"";"   6,66";"   3,34";"201701";"05/02/2018 11:09:22"
"PREV SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICA PRIVADA (414948)";"Médico Hospitalar";"X";"2";"";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"CENCOSUD BRASIL COMERCIAL LTDA. (415235)";"Médico Hospitalar";"X";"2";"";"0,00";"";"";"";"";"";"";"";"";"";"";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED PERNAMBUCO CENTRAL - COOPERATIVA DE TRABALHO MÉDICO (379778)";"Médico Hospitalar";"X";"2";"";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"PRODENT - ASSISTÊNCIA ODONTOLÓGICA LTDA. (380041)";"Odontológica";"Grande";"1";"3";"   0,95";"   0,54";"   0,76";"   0,90";"   0,81";"   0,68";"   0,70";"   0,79";"   0,64";"   0,71";"   0,68";"   0,95";"201701";"05/02/2018 11:09:22"
"PRIMA VIDA ODONTOLOGIA DE GRUPO LIMITADA (416525)";"Odontológica";"Grande";"2";"4";"   0,45";"   0,47";"   0,28";"   0,36";"   0,45";"   0,56";"   0,95";"   0,86";"   0,75";"   0,55";"   0,45";"   0,45";"201701";"05/02/2018 11:09:22"
"ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA. (310981)";"Odontológica";"Grande";"3";"2";"   0,34";"   0,56";"   0,55";"   0,56";"   0,44";"   0,50";"   0,39";"   0,36";"   0,28";"   0,34";"   0,36";"   0,34";"201701";"05/02/2018 11:09:22"
"SUL AMÉRICA ODONTOLÓGICO S/A (417815)";"Odontológica";"Grande";"4";"1";"   0,32";"   0,70";"   0,81";"   0,73";"   0,46";"   0,29";"   0,34";"   0,36";"   0,39";"   0,34";"   0,27";"   0,32";"201701";"05/02/2018 11:09:22"
"UNIODONTO PAULISTA-FEDERAÇÃO DAS COOPERATIVAS ODONTOLÓGICAS DO ESTADO DE SÃO PAULO (361593)";"Odontológica";"Grande";"5";"14";"   0,30";"   0,07";"0,00";"0,00";"   0,09";"   0,10";"   0,10";"0,00";"0,00";"   0,10";"   0,20";"   0,30";"201701";"05/02/2018 11:09:22"
"ODONTO SYSTEM PLANOS ODONTOLOGICOS LTDA (334588)";"Odontológica";"Grande";"6";"12";"   0,22";"   0,08";"   0,13";"   0,22";"   0,24";"   0,20";"   0,13";"   0,17";"   0,16";"   0,19";"   0,14";"   0,22";"201701";"05/02/2018 11:09:22"
"ODONTOPREV S/A (301949)";"Odontológica";"Grande";"7";"7";"   0,21";"   0,27";"   0,27";"   0,28";"   0,29";"   0,29";"   0,29";"   0,26";"   0,24";"   0,21";"   0,19";"   0,21";"201701";"05/02/2018 11:09:22"
"DENTAL UNI - COOPERATIVA ODONTOLÓGICA (304484)";"Odontológica";"Grande";"8";"8";"   0,21";"   0,25";"   0,32";"   0,39";"   0,38";"   0,45";"   0,51";"   0,61";"   0,57";"   0,33";"   0,24";"   0,21";"201701";"05/02/2018 11:09:22"
"SEMPRE ODONTO PLANOS ODONTOLOGICOS LTDA (414654)";"Odontológica";"Grande";"9";"6";"   0,20";"   0,33";"   0,25";"   0,25";"   0,08";"   0,43";"   0,44";"   0,44";"   0,36";"   0,46";"   0,47";"   0,20";"201701";"05/02/2018 11:09:22"
"INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA ODONTOLÓGICA LTDA (389358)";"Odontológica";"Grande";"10";"17";"   0,14";"0,00";"   0,06";"   0,17";"   0,23";"   0,26";"   0,17";"   0,11";"   0,03";"   0,08";"   0,11";"   0,14";"201701";"05/02/2018 11:09:22"
"SÃO FRANCISCO ODONTOLOGIA LIMITADA (365319)";"Odontológica";"Grande";"11";"15";"   0,12";"   0,06";"   0,09";"   0,13";"   0,10";"   0,06";"0,00";"0,00";"   0,04";"   0,11";"   0,15";"   0,12";"201701";"05/02/2018 11:09:22"
"BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A. (419419)";"Odontológica";"Grande";"12";"11";"   0,10";"   0,08";"   0,11";"   0,09";"   0,05";"   0,09";"   0,19";"   0,21";"   0,26";"   0,22";"   0,19";"   0,10";"201701";"05/02/2018 11:09:22"
"UNIODONTO BELÉM - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA (368555)";"Odontológica";"Grande";"13";"17";"   0,09";"0,00";"0,00";"0,00";"   0,09";"   0,09";"   0,09";"   0,09";"   0,09";"   0,09";"   0,09";"   0,09";"201701";"05/02/2018 11:09:22"
"METLIFE PLANOS ODONTOLÓGICOS LTDA. (406481)";"Odontológica";"Grande";"14";"13";"   0,08";"   0,07";"   0,11";"   0,13";"   0,12";"   0,08";"   0,10";"   0,13";"   0,13";"   0,11";"   0,08";"   0,08";"201701";"05/02/2018 11:09:22"
"UNIODONTO DE CAMPINAS COOPERATIVA ODONTOLÓGICA (350494)";"Odontológica";"Grande";"15";"17";"   0,03";"0,00";"0,00";"   0,06";"   0,06";"   0,08";"   0,03";"   0,06";"   0,06";"   0,09";"   0,06";"   0,03";"201701";"05/02/2018 11:09:22"
"UNIODONTO GOIANIA COOPERATIVA DE CIRURGIÕES DENTISTAS (358436)";"Odontológica";"Grande";"16";"16";"0,00";"   0,05";"   0,05";"   0,05";"   0,05";"   0,05";"   0,05";"   0,05";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO (313751)";"Odontológica";"Grande";"16";"17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"BELO DENTE ODONTOLOGIA LTDA. (351563)";"Odontológica";"Grande";"16";"9";"0,00";"   0,11";"   0,07";"   0,18";"   0,18";"   0,22";"   0,14";"   0,07";"   0,04";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"ODONTOGROUP SISTEMA DE SAÚDE LTDA. (389854)";"Odontológica";"Médio";"1";"2";"   1,64";"   0,84";"   0,84";"   1,26";"   1,48";"   1,50";"   1,08";"   1,92";"   1,64";"   1,56";"   1,48";"   1,64";"201701";"05/02/2018 11:09:22"
"UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO (357391)";"Médico Hospitalar";"Grande";"10";"39";"   4,86";"   2,82";"   3,74";"   4,69";"   5,95";"   6,87";"   7,57";"   7,74";"   5,90";"   4,97";"   4,11";"   4,86";"201701";"05/02/2018 11:09:22"
"SUL AMERICA COMPANHIA DE SEGURO SAÚDE (006246)";"Médico Hospitalar";"Grande";"11";"14";"   4,72";"   5,65";"   6,27";"   6,44";"   6,29";"   5,87";"   5,15";"   5,22";"   4,76";"   5,10";"   4,58";"   4,72";"201701";"05/02/2018 11:09:22"
"BRADESCO SAÚDE S.A. (005711)";"Médico Hospitalar";"Grande";"12";"10";"   4,66";"   6,12";"   6,65";"   6,37";"   5,96";"   5,39";"   4,79";"   4,85";"   4,19";"   4,44";"   4,15";"   4,66";"201701";"05/02/2018 11:09:22"
"BIOVIDA SAÚDE LTDA. (415111)";"Médico Hospitalar";"Grande";"13";"12";"   4,54";"   5,79";"   5,41";"   5,57";"   5,83";"   6,13";"   5,90";"   5,91";"   5,60";"   4,80";"   4,01";"   4,54";"201701";"05/02/2018 11:09:22"
"PROMED ASSISTENCIA MEDICA LTDA (348805)";"Médico Hospitalar";"Grande";"14";"21";"   4,40";"   4,32";"   4,73";"   5,58";"   5,59";"   5,39";"   4,67";"   5,20";"   4,81";"   4,73";"   4,31";"   4,40";"201701";"05/02/2018 11:09:22"
"FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL (338648)";"Médico Hospitalar";"Médio";"149";"195";"   0,78";"   0,39";"   0,78";"   0,78";"   0,39";"   0,78";"   0,78";"   1,18";"   0,78";"   1,17";"   1,18";"   0,78";"201701";"05/02/2018 11:09:22"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA (354562)";"Médico Hospitalar";"Médio";"150";"209";"   0,78";"   0,25";"   0,76";"   0,77";"   0,77";"   0,25";"0,00";"0,00";"0,00";"0,00";"   0,52";"   0,78";"201701";"05/02/2018 11:09:22"
"ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021)";"Médico Hospitalar";"Médio";"151";"33";"   0,77";"   5,17";"   5,53";"   4,12";"   3,88";"   3,03";"   2,66";"   1,60";"   1,48";"   0,90";"   0,67";"   0,77";"201701";"05/02/2018 11:09:22"
"UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO (344729)";"Médico Hospitalar";"Médio";"152";"207";"   0,74";"   0,26";"   0,52";"   0,52";"   0,52";"   0,26";"   0,25";"   0,25";"   0,25";"   0,25";"   0,25";"   0,74";"201701";"05/02/2018 11:09:22"
"UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO (306762)";"Médico Hospitalar";"Médio";"153";"134";"   0,71";"   1,07";"   0,71";"   1,42";"   1,06";"   1,42";"   1,07";"   0,71";"   0,36";"0,00";"0,00";"   0,71";"201701";"05/02/2018 11:09:22"
"UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO (364312)";"Médico Hospitalar";"Médio";"221";"192";"   0,11";"   0,44";"   0,67";"   0,78";"   0,67";"   0,79";"   0,56";"   0,34";"0,00";"0,00";"0,00";"   0,11";"201701";"05/02/2018 11:09:22"
"UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO (322831)";"Médico Hospitalar";"Médio";"222";"206";"0,00";"   0,27";"   0,55";"   0,83";"   1,11";"   1,12";"   0,84";"   0,28";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO (347655)";"Médico Hospitalar";"Médio";"222";"223";"0,00";"0,00";"0,00";"   0,34";"   0,34";"   0,34";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"CENTRO HOSPITALAR ATIBAIA LTDA. (350699)";"Médico Hospitalar";"Médio";"222";"189";"0,00";"   0,45";"   0,90";"   0,90";"   0,45";"0,00";"   0,91";"   0,91";"   0,91";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (313211)";"Médico Hospitalar";"Médio";"222";"223";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,63";"   0,95";"   1,25";"   0,62";"   0,31";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO  (306100)";"Médico Hospitalar";"Médio";"222";"196";"0,00";"   0,38";"   0,39";"   0,39";"   0,40";"   0,40";"   0,40";"0,00";"   0,40";"   0,41";"   0,41";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA (353698)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,79";"   1,79";"   1,78";"0,00";"201701";"05/02/2018 11:09:22"
"ASSOCIACAO DE SAUDE HOLAMBRA (360783)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"SERVMED SAÚDE LTDA (326356)";"Médico Hospitalar";"Pequeno";"186";"141";"0,00";"   1,39";"   1,38";"   0,69";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
